Model,Parameters,PreTraining_Steps,FineTuning_Steps,Min_Eval_Loss,Epochs
pythia,14000000,4000,16,4.360034465789795,991.0
pythia,2800000000,4000,2,3.166841506958008,34.0
pythia,1400000000,128000,128,2.0985987186431885,59.0
pythia,160000000,8000,1,3.5261471271514893,74.0
pythia,14000000,1000,16,5.468231678009033,1000.0
pythia,2800000000,8000,16,2.673731803894043,45.0
pythia,1400000000,64000,16,2.5677642822265625,47.0
pythia,70000000,64000,2,3.6803500652313232,129.0
pythia,410000000,64000,128,2.342031478881836,132.0
pythia,31000000,8000,4,4.022854804992676,272.0
pythia,160000000,1000,1,4.512066841125488,64.0
pythia,160000000,2000,64,3.114264488220215,383.0
pythia,410000000,32000,64,2.5220117568969727,134.0
pythia,1400000000,4000,8,3.0159988403320312,49.0
pythia,14000000,2000,2,5.036480903625488,275.0
pythia,160000000,16000,4,3.264819860458374,116.0
